"","category","count","fraction","ymax","ymin","labelPosition","label","percentage"
"1","Dans le cadre scolaire à la maison (devoirs, révisions etc.)",459,32,32,0,16,"A la maison","32%"
"2","Dans le cadre scolaire en classe (en cours, club etc.)",174,12,44,32,38,"En classe","12%"
"3","Pour ma culture générale",346,24,68,44,56,"Pour ma culture","24%"
"4","Pour le travail",147,10,78,68,73,"Pour le travail","10%"
"5","Pour mon simple loisir",259,18,96,78,87,"Pour mon loisir","18%"
"6","Autre...26",48,3,99,96,97.5,"Autre","3%"
