"","Fiabilités des articles","Freq","percent"
"1","Je me méfie des informations que je trouve sur Vikidia",47,6
"2","Les articles de Vikidia sont plutôt fiables",441,57
"3","Les articles de Vikidia sont tout à fait fiables",161,21
"4","Les informations trouvées sur Vikidia ne sont pas toujours fiables",71,9
"5","Les informations trouvées sur Vikidia sont à prendre avec précaution",54,7
